datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,THB,USD_THB,,THB,35.82,35.88,35.76,35.82,,-0.08%
2017-01-03,THB,USD_THB,,THB,35.8,36.01,35.77,35.93,,0.31%
2017-01-04,THB,MSCI,MSCI Thailand,MSCI,523.48,530.43,523.48,530.43,,1.86%
2017-01-04,THB,USD_THB,,THB,35.91,35.96,35.78,35.82,,-0.31%
2017-01-05,THB,USD_THB,,THB,35.81,35.85,35.64,35.68,,-0.39%
2017-01-05,THB,MSCI,MSCI Thailand,MSCI,531.96,534.02,530.1,532.63,,0.41%
2017-01-06,THB,MSCI,MSCI Thailand,MSCI,532.68,534.18,530.19,531.68,,-0.18%
2017-01-06,THB,USD_THB,,THB,35.7,35.76,35.64,35.74,,0.17%
2017-01-09,THB,USD_THB,,THB,35.72,35.8,35.61,35.65,,-0.25%
2017-01-09,THB,MSCI,MSCI Thailand,MSCI,531.99,532.27,527.6,529.08,,-0.49%
2017-01-10,THB,MSCI,MSCI Thailand,MSCI,529.01,532.68,528.79,531.51,,0.46%
2017-01-10,THB,USD_THB,,THB,35.65,35.69,35.52,35.56,,-0.25%
2017-01-11,THB,MSCI,MSCI Thailand,MSCI,531.27,534.37,530.45,530.45,,-0.20%
2017-01-11,THB,USD_THB,,THB,35.56,35.63,35.42,35.45,,-0.31%
2017-01-12,THB,MSCI,MSCI Thailand,MSCI,532.3,533.27,528.05,528.42,,-0.38%
2017-01-12,THB,USD_THB,,THB,35.49,35.49,35.28,35.37,,-0.23%
2017-01-13,THB,USD_THB,,THB,35.35,35.48,35.35,35.43,,0.17%
2017-01-13,THB,MSCI,MSCI Thailand,MSCI,528.64,531.92,528.02,530.92,,0.47%
2017-01-16,THB,MSCI,MSCI Thailand,MSCI,530.48,531.57,526.99,528.76,,-0.41%
2017-01-16,THB,USD_THB,,THB,35.4,35.51,35.39,35.43,,0.00%
2017-01-17,THB,USD_THB,,THB,35.41,35.45,35.25,35.28,,-0.42%
2017-01-17,THB,MSCI,MSCI Thailand,MSCI,529.14,531.14,526.46,527.02,,-0.33%
2017-01-18,THB,MSCI,MSCI Thailand,MSCI,527.64,529.26,524.86,524.86,,-0.41%
2017-01-18,THB,USD_THB,,THB,35.27,35.45,35.21,35.43,,0.43%
2017-01-19,THB,USD_THB,,THB,35.42,35.47,35.35,35.38,,-0.14%
2017-01-19,THB,MSCI,MSCI Thailand,MSCI,523.63,524.06,519.47,522.44,,-0.46%
2017-01-20,THB,USD_THB,,THB,35.395,35.495,35.295,35.405,,0.07%
2017-01-20,THB,MSCI,MSCI Thailand,MSCI,521.33,524.66,520.25,523.22,,0.15%
2017-01-23,THB,USD_THB,,THB,35.42,35.42,35.21,35.25,,-0.44%
2017-01-23,THB,MSCI,MSCI Thailand,MSCI,524.35,525.4,523.46,525.37,,0.41%
2017-01-24,THB,MSCI,MSCI Thailand,MSCI,526.21,530.47,526.06,530.28,,0.93%
2017-01-24,THB,USD_THB,,THB,35.26,35.29,35.17,35.24,,-0.03%
2017-01-25,THB,USD_THB,,THB,35.25,35.3,35.18,35.22,,-0.06%
2017-01-25,THB,MSCI,MSCI Thailand,MSCI,530.59,535.02,530.56,533.89,,0.68%
2017-01-26,THB,USD_THB,,THB,35.2,35.36,35.17,35.32,,0.28%
2017-01-26,THB,MSCI,MSCI Thailand,MSCI,539.86,541.88,537.13,539.43,,1.04%
2017-01-27,THB,USD_THB,,THB,35.335,35.355,35.215,35.275,,-0.13%
2017-01-27,THB,MSCI,MSCI Thailand,MSCI,538.64,538.9,536.36,537.59,,-0.34%
2017-01-30,THB,MSCI,MSCI Thailand,MSCI,536.63,538.96,535.6,537.53,,-0.01%
2017-01-30,THB,USD_THB,,THB,35.25,35.32,35.16,35.22,,-0.16%
2017-01-31,THB,USD_THB,,THB,35.22,35.24,35.07,35.09,,-0.37%
2017-01-31,THB,MSCI,MSCI Thailand,MSCI,536.96,536.96,531.04,531.04,,-1.21%
2017-02-01,THB,USD_THB,,THB,35.1,35.18,35.07,35.11,,0.06%
2017-02-01,THB,MSCI,MSCI Thailand,MSCI,530.83,533.05,528.24,530.58,,-0.09%
2017-02-02,THB,USD_THB,,THB,35.1,35.14,35.03,35.06,,-0.14%
2017-02-02,THB,MSCI,MSCI Thailand,MSCI,530.81,533.21,529.05,529.36,,-0.23%
2017-02-03,THB,USD_THB,,THB,35.07,35.12,35.0,35.02,,-0.11%
2017-02-03,THB,MSCI,MSCI Thailand,MSCI,530.08,535.41,528.79,534.08,,0.89%
2017-02-06,THB,MSCI,MSCI Thailand,MSCI,535.43,539.4,534.93,537.85,,0.71%
2017-02-06,THB,USD_THB,,THB,35.02,35.08,34.97,35.0,,-0.06%
2017-02-07,THB,MSCI,MSCI Thailand,MSCI,537.03,538.15,534.22,535.45,,-0.45%
2017-02-07,THB,USD_THB,,THB,35.02,35.08,34.99,35.03,,0.09%
2017-02-08,THB,USD_THB,,THB,35.04,35.1,34.99,35.02,,-0.03%
2017-02-08,THB,MSCI,MSCI Thailand,MSCI,535.69,540.29,534.86,538.16,,0.51%
2017-02-09,THB,MSCI,MSCI Thailand,MSCI,539.12,540.55,534.79,534.95,,-0.60%
2017-02-09,THB,USD_THB,,THB,35.02,35.09,34.97,35.09,,0.20%
2017-02-10,THB,MSCI,MSCI Thailand,MSCI,537.05,537.99,534.84,535.33,,0.07%
2017-02-10,THB,USD_THB,,THB,35.06,35.12,35.02,35.06,,-0.09%
2017-02-13,THB,USD_THB,,THB,35.06,35.15,35.04,35.08,,0.06%
2017-02-14,THB,MSCI,MSCI Thailand,MSCI,535.32,536.64,528.81,529.53,,-1.08%
2017-02-14,THB,USD_THB,,THB,35.06,35.11,34.94,35.02,,-0.17%
2017-02-15,THB,USD_THB,,THB,35.02,35.08,34.97,35.03,,0.03%
2017-02-15,THB,MSCI,MSCI Thailand,MSCI,529.59,532.03,526.71,531.28,,0.33%
2017-02-16,THB,MSCI,MSCI Thailand,MSCI,531.5,533.63,530.82,531.86,,0.11%
2017-02-16,THB,USD_THB,,THB,35.03,35.05,34.96,34.99,,-0.11%
2017-02-17,THB,MSCI,MSCI Thailand,MSCI,531.88,535.69,531.88,533.19,,0.25%
2017-02-17,THB,USD_THB,,THB,35.005,35.045,34.965,34.995,,0.01%
2017-02-20,THB,MSCI,MSCI Thailand,MSCI,534.11,534.9,531.63,533.58,,0.07%
