datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,TRY,MSCI,MSCI Turkey,MSCI,1089436,1090052,1084183,1085921,,-0.60%
2017-01-02,TRY,USD_TRY,,TRY,3.5254,3.5465,3.5253,3.5435,,0.48%
2017-01-03,TRY,MSCI,MSCI Turkey,MSCI,1087192,1088254,1068409,1068409,,-1.61%
2017-01-03,TRY,USD_TRY,,TRY,3.5445,3.6049,3.5339,3.5929,,1.39%
2017-01-04,TRY,USD_TRY,,TRY,3.5939,3.5949,3.5672,3.5703,,-0.63%
2017-01-04,TRY,MSCI,MSCI Turkey,MSCI,1071086,1074100,1057189,1061771,,-0.62%
2017-01-05,TRY,USD_TRY,,TRY,3.572,3.6403,3.5555,3.5917,,0.60%
2017-01-05,TRY,MSCI,MSCI Turkey,MSCI,1065422,1070770,1054932,1065183,,0.32%
2017-01-06,TRY,MSCI,MSCI Turkey,MSCI,1062574,1075945,1061223,1075674,,0.98%
2017-01-06,TRY,USD_TRY,,TRY,3.592,3.6485,3.5911,3.6425,,1.41%
2017-01-09,TRY,MSCI,MSCI Turkey,MSCI,1070677,1082685,1068305,1078766,,0.29%
2017-01-09,TRY,USD_TRY,,TRY,3.6446,3.7442,3.638,3.7119,,1.91%
2017-01-10,TRY,MSCI,MSCI Turkey,MSCI,1075472,1082393,1073629,1076251,,-0.23%
2017-01-10,TRY,USD_TRY,,TRY,3.7129,3.7999,3.7074,3.7865,,2.01%
2017-01-11,TRY,MSCI,MSCI Turkey,MSCI,1071716,1081570,1065189,1080042,,0.35%
2017-01-11,TRY,USD_TRY,,TRY,3.7904,3.9417,3.788,3.8632,,2.03%
2017-01-12,TRY,MSCI,MSCI Turkey,MSCI,1084596,1133580,1083979,1131006,,4.72%
2017-01-12,TRY,USD_TRY,,TRY,3.8648,3.9308,3.748,3.7587,,-2.71%
2017-01-13,TRY,USD_TRY,,TRY,3.7597,3.8278,3.7186,3.721,,-1.00%
2017-01-13,TRY,MSCI,MSCI Turkey,MSCI,1128825,1140698,1121993,1138878,,0.70%
2017-01-16,TRY,USD_TRY,,TRY,3.7256,3.8173,3.7249,3.8027,,2.20%
2017-01-16,TRY,MSCI,MSCI Turkey,MSCI,1139782,1146489,1135120,1139283,,0.04%
2017-01-17,TRY,USD_TRY,,TRY,3.804,3.817,3.7561,3.7595,,-1.14%
2017-01-17,TRY,MSCI,MSCI Turkey,MSCI,1144903,1150604,1137929,1148369,,0.80%
