datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,UAH,USD_UAH,,UAH,27.1,27.1,27.1,27.1,,0.00%
2017-01-03,UAH,USD_UAH,,UAH,27.1,27.1,27.1,27.1,,0.00%
2017-01-04,UAH,USD_UAH,,UAH,27.05,27.05,26.55,26.65,,-1.66%
2017-01-05,UAH,USD_UAH,,UAH,26.435,26.435,26.085,26.315,,-1.26%
2017-01-06,UAH,USD_UAH,,UAH,26.575,27.075,26.575,26.975,,2.51%
2017-01-09,UAH,USD_UAH,,UAH,26.975,26.975,26.975,26.975,,0.00%
2017-01-10,UAH,USD_UAH,,UAH,27.2,27.2,27.15,27.15,,0.65%
2017-01-11,UAH,USD_UAH,,UAH,27.015,27.275,26.965,27.235,,0.31%
2017-01-12,UAH,USD_UAH,,UAH,27.19,27.29,27.19,27.28,,0.17%
2017-01-13,UAH,USD_UAH,,UAH,27.55,27.7,27.5,27.6,,1.17%
2017-01-16,UAH,USD_UAH,,UAH,27.74,27.79,27.74,27.74,,0.51%
2017-01-17,UAH,USD_UAH,,UAH,27.63,27.63,27.58,27.6,,-0.50%
2017-01-18,UAH,USD_UAH,,UAH,27.6,27.6,27.47,27.55,,-0.18%
2017-01-19,UAH,USD_UAH,,UAH,27.415,27.505,27.365,27.425,,-0.45%
2017-01-20,UAH,USD_UAH,,UAH,27.665,27.665,27.375,27.375,,-0.18%
2017-01-23,UAH,USD_UAH,,UAH,27.42,27.47,27.35,27.35,,-0.09%
2017-01-24,UAH,USD_UAH,,UAH,27.315,27.315,27.19,27.24,,-0.40%
2017-01-25,UAH,USD_UAH,,UAH,27.25,27.27,27.19,27.2,,-0.15%
2017-01-26,UAH,USD_UAH,,UAH,27.21,27.245,27.17,27.18,,-0.07%
2017-01-27,UAH,USD_UAH,,UAH,27.2045,27.2045,27.1545,27.1905,,0.04%
2017-01-30,UAH,USD_UAH,,UAH,27.17,27.206,27.09,27.11,,-0.30%
2017-01-31,UAH,USD_UAH,,UAH,27.09,27.105,27.07,27.09,,-0.07%
2017-02-01,UAH,USD_UAH,,UAH,27.075,27.075,26.925,26.925,,-0.61%
2017-02-02,UAH,USD_UAH,,UAH,27.0325,27.0325,26.9525,26.9525,,0.10%
2017-02-03,UAH,USD_UAH,,UAH,27.05,27.2,27.05,27.2,,0.92%
2017-02-06,UAH,USD_UAH,,UAH,27.2,27.33,27.15,27.15,,-0.18%
2017-02-07,UAH,USD_UAH,,UAH,27.025,27.075,27.005,27.005,,-0.53%
2017-02-08,UAH,USD_UAH,,UAH,27.165,27.165,26.895,26.935,,-0.26%
2017-02-09,UAH,USD_UAH,,UAH,27.025,27.06,26.925,27.06,,0.46%
2017-02-10,UAH,USD_UAH,,UAH,27.11,27.28,27.11,27.23,,0.63%
2017-02-13,UAH,USD_UAH,,UAH,27.21,27.56,27.14,27.44,,0.77%
2017-02-14,UAH,USD_UAH,,UAH,27.19,27.32,27.09,27.15,,-1.06%
2017-02-15,UAH,USD_UAH,,UAH,27.09,27.235,26.98,27.235,,0.31%
2017-02-16,UAH,USD_UAH,,UAH,26.965,27.015,26.965,27.015,,-0.81%
2017-02-17,UAH,USD_UAH,,UAH,26.975,27.055,26.975,27.035,,0.07%
2017-02-20,UAH,USD_UAH,,UAH,26.9725,27.0425,26.9725,27.0025,,-0.12%
2017-02-21,UAH,USD_UAH,,UAH,26.995,27.065,26.995,27.045,,0.16%
2017-02-22,UAH,USD_UAH,,UAH,26.97,27.27,26.92,26.94,,-0.39%
2017-02-23,UAH,USD_UAH,,UAH,26.865,26.915,26.865,26.915,,-0.09%
2017-02-24,UAH,USD_UAH,,UAH,26.955,27.175,26.925,26.925,,0.04%
2017-02-27,UAH,USD_UAH,,UAH,26.925,27.065,26.925,27.065,,0.52%
