datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-01,USD,비트스탬프,,USD,966.3,1005.0,960.5,998.8,6.67K,3.58%
2017-01-02,USD,비트스탬프,,USD,997.8,1032.0,990.0,1014.1,8.09K,1.53%
2017-01-03,USD,비트스탬프,,USD,1011.4,1039.0,1000.0,1037.0,8.78K,2.26%
2017-01-04,USD,비트스탬프,,USD,1035.5,1139.9,1028.6,1122.6,21.37K,8.25%
2017-01-05,USD,비트스탬프,,USD,1114.4,1136.7,885.4,994.0,34.74K,-11.45%
2017-01-06,USD,비트스탬프,,USD,1004.7,1027.0,871.0,891.6,27.60K,-10.31%
2017-01-07,USD,비트스탬프,,USD,894.0,906.0,812.3,897.1,19.70K,0.63%
2017-01-08,USD,비트스탬프,,USD,906.2,941.8,881.3,906.2,8.85K,1.01%
2017-01-09,USD,비트스탬프,,USD,909.8,912.9,875.0,900.0,8.66K,-0.68%
2017-01-10,USD,비트스탬프,,USD,896.1,912.5,889.4,908.0,7.93K,0.89%
2017-01-11,USD,비트스탬프,,USD,905.0,918.4,755.0,788.8,35.45K,-13.12%
2017-01-12,USD,비트스탬프,,USD,778.7,833.0,751.3,816.0,17.30K,3.45%
2017-01-13,USD,비트스탬프,,USD,807.5,831.4,775.0,826.9,11.30K,1.34%
2017-01-14,USD,비트스탬프,,USD,826.0,837.8,810.0,819.7,6.58K,-0.88%
2017-01-15,USD,비트스탬프,,USD,819.5,823.5,808.0,822.5,4.20K,0.34%
2017-01-16,USD,비트스탬프,,USD,821.9,835.0,818.1,829.6,6.14K,0.87%
2017-01-17,USD,비트스탬프,,USD,831.8,908.5,827.0,906.1,12.17K,9.22%
2017-01-18,USD,비트스탬프,,USD,906.0,916.0,851.7,876.7,11.02K,-3.24%
2017-01-19,USD,비트스탬프,,USD,887.7,910.0,878.9,900.5,11.07K,2.71%
2017-01-20,USD,비트스탬프,,USD,902.2,902.4,880.0,895.6,6.61K,-0.54%
2017-01-21,USD,비트스탬프,,USD,895.8,928.0,895.0,921.1,5.82K,2.84%
2017-01-22,USD,비트스탬프,,USD,922.0,937.7,886.8,919.4,7.07K,-0.19%
2017-01-23,USD,비트스탬프,,USD,923.8,927.6,913.2,921.4,3.34K,0.22%
2017-01-24,USD,비트스탬프,,USD,913.2,923.0,886.3,893.0,8.82K,-3.08%
2017-01-25,USD,비트스탬프,,USD,885.5,904.0,884.5,893.0,5.29K,0.00%
2017-01-26,USD,비트스탬프,,USD,893.3,919.5,892.9,916.3,5.11K,2.62%
2017-01-27,USD,비트스탬프,,USD,915.0,924.9,908.0,917.8,4.82K,0.16%
2017-01-28,USD,비트스탬프,,USD,918.0,921.0,913.1,917.8,1.14K,-0.01%
2017-01-29,USD,비트스탬프,,USD,918.6,920.0,910.5,913.1,1.32K,-0.51%
2017-01-30,USD,비트스탬프,,USD,913.1,923.0,910.0,921.1,3.00K,0.87%
2017-01-31,USD,비트스탬프,,USD,920.0,970.0,917.5,965.0,9.32K,4.77%
2017-02-01,USD,비트스탬프,,USD,964.0,987.0,962.0,983.4,6.87K,1.90%
2017-02-02,USD,비트스탬프,,USD,983.8,1011.7,973.1,1008.2,8.21K,2.52%
2017-02-03,USD,비트스탬프,,USD,1009.2,1022.6,987.0,1012.6,10.80K,0.44%
2017-02-04,USD,비트스탬프,,USD,1015.1,1044.2,1004.0,1034.4,5.73K,2.15%
2017-02-05,USD,비트스탬프,,USD,1033.7,1034.6,1004.7,1014.6,4.32K,-1.92%
2017-02-06,USD,비트스탬프,,USD,1010.0,1031.9,1005.1,1023.7,5.07K,0.90%
2017-02-07,USD,비트스탬프,,USD,1024.0,1056.3,1021.3,1054.1,5.28K,2.97%
2017-02-08,USD,비트스탬프,,USD,1052.5,1070.0,1025.0,1057.0,9.57K,0.27%
2017-02-09,USD,비트스탬프,,USD,1051.7,1074.7,913.7,982.0,24.96K,-7.10%
2017-02-10,USD,비트스탬프,,USD,985.7,1010.7,950.0,997.6,10.63K,1.59%
2017-02-11,USD,비트스탬프,,USD,995.5,1020.0,987.6,1012.0,4.43K,1.44%
2017-02-12,USD,비트스탬프,,USD,1011.0,1012.0,992.0,1001.6,2.66K,-1.02%
2017-02-13,USD,비트스탬프,,USD,1000.7,1007.9,975.1,1000.3,4.54K,-0.14%
2017-02-14,USD,비트스탬프,,USD,1000.7,1019.0,988.0,1011.5,6.54K,1.13%
2017-02-15,USD,비트스탬프,,USD,1008.9,1013.8,1001.0,1011.5,3.10K,0.00%
2017-02-16,USD,비트스탬프,,USD,1011.5,1043.2,1010.8,1032.7,6.00K,2.09%
2017-02-17,USD,비트스탬프,,USD,1032.7,1065.0,1032.0,1055.5,6.09K,2.20%
2017-02-18,USD,비트스탬프,,USD,1055.5,1069.0,1046.1,1056.4,4.47K,0.09%
2017-02-19,USD,비트스탬프,,USD,1056.4,1061.9,1039.1,1051.8,2.27K,-0.44%
2017-02-20,USD,비트스탬프,,USD,1051.8,1090.0,1044.4,1084.0,3.66K,3.06%
2017-02-21,USD,비트스탬프,,USD,1084.0,1126.9,1077.0,1124.6,8.39K,3.75%
2017-02-22,USD,비트스탬프,,USD,1124.6,1143.0,1098.2,1130.0,11.67K,0.48%
2017-02-23,USD,비트스탬프,,USD,1130.0,1193.9,1120.7,1188.1,11.75K,5.14%
2017-02-24,USD,비트스탬프,,USD,1188.1,1220.0,1091.1,1180.1,19.60K,-0.67%
2017-02-25,USD,비트스탬프,,USD,1180.1,1184.7,1127.0,1152.2,6.24K,-2.37%
2017-02-26,USD,비트스탬프,,USD,1152.2,1185.0,1133.0,1179.1,3.54K,2.33%
2017-02-27,USD,비트스탬프,,USD,1179.1,1198.0,1169.0,1194.6,4.64K,1.32%
2017-02-28,USD,비트스탬프,,USD,1194.6,1210.0,1176.3,1191.2,7.56K,-0.29%
2017-03-01,USD,비트스탬프,,USD,1191.2,1231.0,1188.3,1226.4,6.01K,2.95%
2017-03-02,USD,비트스탬프,,USD,1226.4,1283.3,1215.0,1257.6,7.76K,2.54%
2017-03-03,USD,비트스탬프,,USD,1257.6,1298.0,1255.0,1285.3,7.55K,2.20%
2017-03-04,USD,비트스탬프,,USD,1285.3,1289.6,1230.0,1260.0,4.95K,-1.97%
2017-03-05,USD,비트스탬프,,USD,1260.0,1275.0,1240.0,1273.0,3.03K,1.03%
2017-03-06,USD,비트스탬프,,USD,1273.0,1285.0,1251.0,1278.5,4.25K,0.43%
