datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,ZAR,USD_ZAR,,ZAR,13.7275,13.785,13.6825,13.74,,0.06%
2017-01-03,ZAR,MSCI,MSCI South Africa,MSCI,1275.44,1287.15,1275.44,1286.5,,0.86%
2017-01-03,ZAR,USD_ZAR,,ZAR,13.7344,13.8573,13.6875,13.8238,,0.61%
2017-01-04,ZAR,MSCI,MSCI South Africa,MSCI,1285.73,1285.73,1268.04,1285.13,,-0.11%
2017-01-04,ZAR,USD_ZAR,,ZAR,13.8325,13.8401,13.5773,13.6075,,-1.56%
2017-01-05,ZAR,USD_ZAR,,ZAR,13.6276,13.7463,13.4875,13.58,,-0.20%
2017-01-05,ZAR,MSCI,MSCI South Africa,MSCI,1285.29,1293.78,1265.62,1271.72,,-1.04%
2017-01-06,ZAR,MSCI,MSCI South Africa,MSCI,1275.49,1295.45,1269.97,1294.68,,1.81%
2017-01-06,ZAR,USD_ZAR,,ZAR,13.5803,13.786,13.56,13.73,,1.10%
2017-01-09,ZAR,USD_ZAR,,ZAR,13.7063,13.8043,13.6255,13.66,,-0.51%
2017-01-09,ZAR,MSCI,MSCI South Africa,MSCI,1294.69,1305.53,1288.94,1290.75,,-0.30%
2017-01-10,ZAR,USD_ZAR,,ZAR,13.6625,13.7701,13.5837,13.7264,,0.49%
2017-01-10,ZAR,MSCI,MSCI South Africa,MSCI,1292.72,1299.78,1288.9,1298.7,,0.62%
2017-01-11,ZAR,MSCI,MSCI South Africa,MSCI,1298.36,1311.18,1295.38,1309.71,,0.85%
2017-01-11,ZAR,USD_ZAR,,ZAR,13.7421,13.9825,13.6414,13.7293,,0.02%
2017-01-12,ZAR,USD_ZAR,,ZAR,13.7457,13.7857,13.4063,13.4915,,-1.73%
2017-01-12,ZAR,MSCI,MSCI South Africa,MSCI,1309.45,1311.56,1298.91,1302.14,,-0.58%
2017-01-13,ZAR,MSCI,MSCI South Africa,MSCI,1302.19,1316.84,1301.55,1314.62,,0.96%
2017-01-13,ZAR,USD_ZAR,,ZAR,13.5105,13.6023,13.4377,13.5,,0.06%
2017-01-16,ZAR,MSCI,MSCI South Africa,MSCI,1314.5,1324.85,1305.14,1323.61,,0.68%
2017-01-16,ZAR,USD_ZAR,,ZAR,13.52,13.7202,13.5043,13.6705,,1.26%
2017-01-17,ZAR,USD_ZAR,,ZAR,13.6705,13.7025,13.4102,13.457,,-1.56%
2017-01-17,ZAR,MSCI,MSCI South Africa,MSCI,1323.07,1326.3,1310.35,1312.03,,-0.87%
2017-01-18,ZAR,MSCI,MSCI South Africa,MSCI,1313.24,1323.62,1313.24,1318.38,,0.48%
2017-01-18,ZAR,USD_ZAR,,ZAR,13.4674,13.6422,13.4517,13.6248,,1.25%
2017-01-19,ZAR,USD_ZAR,,ZAR,13.6315,13.6781,13.5325,13.5441,,-0.59%
2017-01-19,ZAR,MSCI,MSCI South Africa,MSCI,1318.21,1320.4,1309.7,1312.91,,-0.41%
2017-01-20,ZAR,USD_ZAR,,ZAR,13.5598,13.6463,13.5031,13.59,,0.34%
2017-01-20,ZAR,MSCI,MSCI South Africa,MSCI,1312.3,1312.3,1298.2,1299.98,,-0.98%
2017-01-23,ZAR,USD_ZAR,,ZAR,13.575,13.6612,13.4684,13.4703,,-0.88%
2017-01-23,ZAR,MSCI,MSCI South Africa,MSCI,1300.34,1312.93,1299.91,1312.36,,0.95%
2017-01-24,ZAR,MSCI,MSCI South Africa,MSCI,1313.17,1319.2,1310.04,1318.47,,0.47%
2017-01-24,ZAR,USD_ZAR,,ZAR,13.485,13.51,13.2863,13.38,,-0.67%
2017-01-25,ZAR,MSCI,MSCI South Africa,MSCI,1323.22,1325.71,1313.05,1313.05,,-0.41%
2017-01-25,ZAR,USD_ZAR,,ZAR,13.3829,13.4025,13.2179,13.23,,-1.12%
2017-01-26,ZAR,USD_ZAR,,ZAR,13.245,13.4355,13.1948,13.3502,,0.91%
2017-01-26,ZAR,MSCI,MSCI South Africa,MSCI,1318.32,1324.88,1314.69,1319.83,,0.52%
2017-01-27,ZAR,MSCI,MSCI South Africa,MSCI,1318.97,1320.49,1293.58,1298.15,,-1.64%
2017-01-27,ZAR,USD_ZAR,,ZAR,13.355,13.6023,13.326,13.465,,0.86%
2017-01-30,ZAR,USD_ZAR,,ZAR,13.4225,13.6915,13.422,13.4983,,0.25%
2017-01-30,ZAR,MSCI,MSCI South Africa,MSCI,1298.56,1301.11,1288.67,1291.41,,-0.52%
2017-01-31,ZAR,USD_ZAR,,ZAR,13.5066,13.6118,13.349,13.4601,,-0.28%
2017-01-31,ZAR,MSCI,MSCI South Africa,MSCI,1291.32,1295.6,1284.65,1291.74,,0.03%
2017-02-01,ZAR,USD_ZAR,,ZAR,13.4758,13.5363,13.3545,13.46,,0.00%
2017-02-01,ZAR,MSCI,MSCI South Africa,MSCI,1293.31,1306.22,1293.31,1301.41,,0.75%
2017-02-02,ZAR,MSCI,MSCI South Africa,MSCI,1301.34,1302.05,1290.46,1295.07,,-0.49%
2017-02-02,ZAR,USD_ZAR,,ZAR,13.4725,13.49,13.316,13.3938,,-0.49%
2017-02-03,ZAR,MSCI,MSCI South Africa,MSCI,1291.48,1293.86,1286.46,1291.95,,-0.24%
2017-02-03,ZAR,USD_ZAR,,ZAR,13.3905,13.4967,13.205,13.2675,,-0.94%
